sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,IT_B_Label,IT_M_Label,NST_B_Label,NST_M_Label,start_hour,start_day,start_month,end_hour,end_day,end_month,duration_seconds
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Normal,0.0,Normal,11,16,9,11,16,9,0.0
0,0,0,0,0,0,0,0.002083607978420332,0.002083607978420332,0.002083607984070343,0.002083607984070343,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Normal,0.0,Normal,11,16,9,11,16,9,0.0
0,0,0,0,0,0,0,0.006250442849704996,0.006250442849704996,0.0062504428337455354,0.0062504428337455354,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Normal,0.0,Normal,11,16,9,11,16,9,0.0
0,0,0,0,0,0,0,0.014584211632609367,0.014584211632609367,0.014584211621292791,0.014584211621292791,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Normal,0.0,Normal,11,16,9,11,16,9,0.0
0,0,0,0,0,0,0,0.03125140583142638,0.03125140583142638,0.03125140583820708,0.03125140583820708,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Normal,0.0,Normal,11,16,9,11,16,9,0.0
0,0,0,0,0,0,0,0.06458499806467444,0.06458499806467444,0.06458499805084793,0.06458499805084793,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Normal,0.0,Normal,11,16,9,11,16,9,0.0
0,0,0,0,0,0,0,0.1312517691985704,0.1312517691985704,0.1312517691963177,0.1312517691963177,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Normal,0.0,Normal,11,16,9,11,16,9,0.0
0,0,0,0,0,0,0,0.26458517971332185,0.26458517971332185,0.26458517971688245,0.26458517971688245,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Normal,0.0,Normal,11,16,9,11,16,9,0.0
0,0,0,0,0,0,0,0.5312511859228835,0.5312511859228835,0.5312511859170973,0.5312511859170973,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,replay,0.0,Normal,12,16,9,12,16,9,0.0
0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,ip-scan,0.0,Normal,13,16,9,13,16,9,0.0
